id	concatena	primo_cognome	secondo_cognome	terzo_cognome	primo_nome	secondo_nome	terzo_nome	sesso	luogo_di_nascita	data_di_nascita	luogo_di_morte	data_di_morte	facolta	corso	insegnamenti	inizio_carriera_accademica	fine_carriera_accademica	biografia	ambiti_di_ricerca	carriera_extra_acc	riferimenti_bibliografici	riferimenti_archivistici	docente	rettore	inizio_mandato	fine_mandato	docente_illustre	laureato_ad_honorem	prima_donna_docente	autore	revisore
353	SechiTomaso	Sechi			Tomaso			M					Medicina e Chirurgia		Dermosifilopatia delle malattie della pelle			Tomaso Sechi, abilitato per titoli alla libera docenza di Dermosifilopatia nell' Università di Bologna, fu autorizzato, con Decreto Min. del 17 Marzo 1900, a trasferire la libera docenza nell'Università di Cagliari, dietro avviso favorevole della Falcoltà Medica.		vice segretario della Società tra i cultori delle Scienze mediche e naturali di Cagliari	Annuario 1900-1901		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
354	PinnaGiuseppe	Pinna			Giuseppe			M					Medicina e Chirurgia		Patologia speciale medica dimostrativa			Il dottor Pinna, ben noto per la sua attività scientifica, venne abilitato per titoli alla libera docenza in Patologia speciale medica dimostrativa, previo avviso favorevole della facoltà Medica. Patologia (libera docenza (Decreto Regio di abilitazione 12 giugno 1900); Clinica Medica (libera docenza - Decreto Regio di abilitazione 26 luglio 1911)		membro della Società tra i cultori delle Scienze mediche e naturali in Cagliari; Ufficiale dell'Istruzione pubblica di Francia (D. 1° Novembre 1912)	Annuario 1900-1901		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
355	SannaSalarisGiuseppe	Sanna	Salaris		Giuseppe			M	Alghero		Cagliari		Medicina e Chirurgia		Psichiatria; Semiotica delle malattie mentali; Clinica delle malattie nervose e mentali. 			NATO NEL 1860. Specializzatosi in Psichiatria, dopo aver frequentato diversi vorsi di perfezionamento in varie città italiane ed europee, venne nominato Direttore del Manicomio Provinciale di Cagliari nel 1890. Fu ispiratore e idetore di una nuova concezione delle cure delle malattie mentali che si espresse nel programma di un progetto di manicomio da costruirsi a Monte Claro, (CA). La struttura nell’ottica dello scienziato doveva coniugare la funzionalità con la salubrità dell’ambiente, un luogo dove i pazienti avrebero trovato un rifugio sia per il crpo che per la mente. Il Sanna è stato un medico illuminato, propugnatore di una moderna tecnica manicomiale, ed è considerato, intellettualmente e umanamente, una delle persone più profonde della sua epoca. La creazione del manicomio, realizzata nei primi anni del ‘900. Fu considerata all’avanguardia, anche in campo nazionale. Carriera accademica: Psichiatria (libera docenza - Decreto Regio di abilitazione 26 dicembre 1900); Semiotica delle malattie mentali; poi incaricato di Clinica delle malattie nervose e mentali. MORTO NEL 1928.		Fu direttore del manicomio provinciale di Cagliari dal 1890 al 1928, anno della sua morte.			sì	no			no	no	no	Laura Cogoni	Eleonora Todde
356	BertinoAlessandro	Bertino			Alessandro			M			Padova		Medicina e Chirurgia		Clinica ostetrico-ginecologica			NATO NEL 1870. Dal 1915 al 1920 ha l'insegnamento di Ostetricia all'Università di Siena; Nel 1922 è alla cattedra di Ostetricia dell'Università di Padova. MORTO NEL 1957.		commendatore; assistente			sì	no			no	no	no	Laura Cogoni	Eleonora Todde
357	CarraraMario	Carrara			Mario			M	Guastalla	1866-11-02	Torino	1937-06-10	Medicina e Chirurgia		Medicina legale; Antropologia			Subito dopo la laurea si indirizzò verso la carriera universitaria. Nel 1891 si trasferì a Torino, chiamatovi da C. Lombroso. Dopo aver esercitato per un certo tempo l'attività di medico condotto, fuori di Torino, nel 1894 tornò definitivamente presso il Lombroso in qualità di aiuto, e iniziò la carriera didattica. Nel 1898 fu nominato straordinario alla cattedra vacante di Medicina legale dell'università di Cagliari, e qui rimase fino al 1903, quando fu chiamato nuovamente all'università di Torino a ricoprire la cattedra di Antropologia criminale e Medicina legale, lasciata libera dal Lombroso che era passato all'insegnamento della Psichiatria.Al posto suo fu traslocato dall'Università di Sassari il professore Cesare Biondi.	"Tutta l'opera scientifica e didattica del C. fu prevalentemente orientata nel campo della medicina legale. Formatosi alla scuola antropologica del Lombroso, il C. impostò tale disciplina su basi e concezioni assolutamente nuove. fu autore di numerose pubblicazioni, tra le quali meritano soprattutto di essere ricordate: Diagnostica anatomo-patologica, Torino 1911 (in coll. con J. Orth) e Manuale di medicina legale, ibid. 1937-40 (in coll. con R. Romanese, G. Canuto, C. Tovo). Egli si segnalò fra l'altro come uno dei primi ricercatori italiani di ematologia forense, e fu noto per aver ottenuto da conigli, nei quali aveva iniettato nucleoproteidi di reni di cani, sieri antisangue di cane e antinucleoproteidi dei reni di altre specie (Siero precipitante specifico per il sangue ottenuto mediante iniezioni di nucleoproteidi, in Riv. critica di clinica medica, III [1902], pp. 673-679).

Il C. curò l'organizzazione del Museo di antropologia criminale di Torino, che diresse fino al 1931, e dal 1909 fu direttore della rivista Archivio di antropologia criminale, psichiatria emedicina legale, succedendo al Lombroso morto in quell'anno.

Con la moglie Paola, figlia del Lombroso (la scrittrice ""zia Mariù"") il C. mantenne contatti con F. Turati, al quale ebbe cura di far pervenire regolarmente i vari numeri dell'Archivio (cfr. F. Turati-A. Kuliscioff, Carteggio, I, Torino 1949, pp. 151, 211, 261, 271, 322, 344). Nel novembre 1931 fu esonerato dall'insegnamento (e dall'incarico di medico delle carceri) in seguito al rifiuto di prestare il giuramento di fedeltà al fascismo reso obbligatorio per tutti i professori universitari, e dovette quindi dedicarsi alla pratica professionale."		Annuario 1899-1900;  CARRARA, Mario, di Colomba Calcagni, in Dizionario Biografico degli Italiani, Volume 20 (1977); Annuario 1902-1903; Annuario 1903-1904		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
358	ResinelliGiuseppe	Resinelli			Giuseppe			M	Lecco	1865-12-11	Firenze	1915-03-01	Medicina e Chirurgia		Ostetricia e Clinica ostetrico-ginecologica			Laureatosi nel 1890 a Pavia, si dedicò all'ostetricia e alla ginecologia sotto la guida dapprima di A. Cuzzi, poi di L. Mangiagalli. Nel 1894 ottenne la libera docenza, nel 1901 ebbe la direzione dell'Istituto degli esposti e della maternità a Ferrara; nel 1907 successe a E. Pestalozza nella cattedra di Firenze dopo avere insegnato nelle università di Cagliari e di Parma. Oltre a numerosi lavori nel campo della sua specialità, collaborò con I. Clivio, E. Pestalozza, A. Vicarelli al Trattato di ostetricia (Milano 1910). In vece sua, dell'insegnamento di Ostetricia e Ginecologia a Cagliari fu incaricato il professore Tridondani.			Annuario 1902-1903; Enciclopedia Italiana (1936) 		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
359	BenedicentiAlberico	Benedicenti			Alberico			M	Mondovì	1866-05-19	Villafranca in Lunigiana	1961-02-02	Medicina e Chirurgia		Materia medica e Farmacologia sperimentale			Subito dopo la laurea si stabilì nell'Istituto di fisiologia di Torino, diretto da A. Mosso, trascorrendovi dieci anni in qualità di assistente volontario prima, poi di assistente straordinario, e infine di aiuto. Nel 1892-93 frequentò, a Torino, il laboratorio di chimica farmaceutica diretto da I. Guareschi, e nel 1895-96 fu in Germania, a Erlangen, presso l'Istituto di fisiologia di I. Rosenthal. Ottenuta nel 1898 la docenza in farmacologia, nel 1900 fu nominato professore straordinario di tale disciplina nell'università di Camerino. Durante l'anno scolastico 1902-1903?, a seguito del trasferimento a Parma del professore Sabbatani, venne incaricato dell'insegnamento della Farmacologia e Materia medica e poi, dietro concorso, venne nominato prof, straordinario. Chiamato successivamente a insegnare farmacologia presso l'università di Messina, nel 1909 ottenne la cattedra di farmacologia nell'università di Genova, dove rimase, nonostante i ripetuti inviti di altre università italiane, fino alla conclusione della carriera. Fondò, nel 1936, un centro fitoterapico annesso all'Istituto di clinica medica, che diresse fino allo scoppio della seconda guerra mondiale.	"Lo studio del B. si concentrò sulla necessità di affrontare con le tecniche della chimica e della chimica-fisica lo studio dei problemi farmacologici onde giungere alla conoscenza del meccanismo d'azione dei farmaci. Delle numerosissime pubblicazioni del B., comparse su varie riviste italiane e straniere, ricorderemo soltanto alcune tra le più importanti dal punto di vista storico-scientifico, in quanto costituenti i primi suoi studi su determinati argomenti: Sulle proprietà disinfettanti delle Formol-proteine, in Atti della Soc. toscana di scienze nat., X (1897), pp. 214-220 (processi verbali); Sur l'action physiologique et sur le mode de se comporter dans l'organisme des éthers β-chétoniques, in Arch. italiennes de biologie, XXXI (1899), pp. 90-96; Sopra l'azione fisiologica di alcuni eteri chetonici e dichetonici corrispondenti, in Atti della R. Acc. delle scienze di Torino, XXXIV (1899), pp. 299-324; Ricerche farmacologiche sui composti mercurio-organici derivanti dalle amine aromatiche (in collab. con O. Polledro), ibid., XXXV (1900), pp. 297-318. La sintesi dei risultati ottenuti dal B. nel corso delle sue ricerche farmacologiche fu in gran parte attuata nella sua opera La vita come fenomeno chimico-fisico (Milano 1943).Delle numerosissime pubblicazioni del B., comparse su varie riviste italiane e straniere, ricorderemo soltanto alcune tra le più importanti dal punto di vista storico-scientifico, in quanto costituenti i primi suoi studi su determinati argomenti: Sulle proprietà disinfettanti delle Formol-proteine, in Atti della Soc. toscana di scienze nat., X (1897), pp. 214-220 (processi verbali); Sur l'action physiologique et sur le mode de se comporter dans l'organisme des éthers β-chétoniques, in Arch. italiennes de biologie, XXXI (1899), pp. 90-96; Sopra l'azione fisiologica di alcuni eteri chetonici e dichetonici corrispondenti, in Atti della R. Acc. delle scienze di Torino, XXXIV (1899), pp. 299-324; Ricerche farmacologiche sui composti mercurio-organici derivanti dalle amine aromatiche (in collab. con O. Polledro), ibid., XXXV (1900), pp. 297-318. La sintesi dei risultati ottenuti dal B. nel corso delle sue ricerche farmacologiche fu in gran parte attuata nella sua opera La vita come fenomeno chimico-fisico (Milano 1943). Tra le altre opere di storia della medicina pubblicate dal B. merita particolare menzione: Pietro d'abano (1250-1316). Il trattato ""De venenis""commentato ed illustrato..., edito a Firenze nel 1949. Fu autore di un romanzo a impostazione chiaramente autobiografica, Il romanzo del vecchio professore (Milano 1946)"	Il Benedicenti fu preside della facoltà di farmacia dell'università di Genova, membro dell'Accademia nazionale del XL, socio dell'Accademia Nazionale dei Lincei, vice presidente di comitato del Consiglio Nazionale delle Ricerche, presidente della sezione genovese della Società italiana di biologia. La Società italiana di farmacologia intitolò al suo nome un premio biennale per il miglior complesso di lavori farmacologici in Italia.	Annuario 1902-1903; BENEDICENTI, Alberico, di Mario Crespi, in Dizionario Biografico degli Italiani, Volume 8 (1966) ; Annuario 1903-1904		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
360	CaoGiuseppe	Cao			Giuseppe			M	Cagliari				Medicina e Chirurgia	Corso d'Igiene per gli ufficiali sanitari	Igiene			Assistente del Gabinetto di Igiene sotto il Sanfelice, fu incaricato dell'insegnamento d'Igiene in quanto aveva ottenuto in Igiene la privata docenza per titoli			Annuario 1902-1903; Annuario 1903-1904		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
361	CentanniEugenio	Centanni			Eugenio			M	Montotto	1863-01-08	Bologna	1942-08-09	Medicina e Chirurgia		Patologia generale			Due anni dopo la laurea divenne assistente nell'Istituto di Patologia generale dell'Università di Bologna. Conseguita la libera docenza in patologia generale nel 1894, iniziò la carriera universitaria riuscendo vincitore di vari concorsi a cattedra per tale disciplina: fu pertanto chiamato a insegnare nel 1899 all'università di Ferrara, nel 1903 a quella di Cagliari, nel 1906 a Siena, nel 1913 a Modena, infine nel 1927 a Bologna. In tale sede rimase in cattedra fino al 1935, quando, in seguito all'entrata in vigore della legge che portava da 75 a 70 anni il limite di età per il collocamento a riposo dei professori universitari, dovette lasciare l'insegnamento.	Attratto dai grandi problemi prospettati dalla patologia generale il C. dedicò tutta la vita allo studio e alla sperimentazione. Alcune opore: L'immunizzazione specifica degli elementi dei tessuti. Contributo alla conoscenza dell'immunità e della siero-terapia nella rabbia, in Riforma medica, IX [1893], 3, pp. 85-89; Die spezifische Immunisation der Elemente der Gewebe. Ein Beitrag zur Kenntnis der Immunität und der Serumtherapie bei Rabies, in Deutsche medic. Wochenschr., XIX [1893], pp. 1061-1064, 1115-1118Un rilievo particolare ebbero comunque i suoi lavori di microbiologia e di immunologia. La terza immunità, Modena 1919; Trattato di immunologia, Milano 1921. ulle stomosine... Parte prima: la dottrina delle stomosine nell'indirizzo biomolecolare dell'immunità, in Riforma medica, XVIII [1902], 3, pp. 172-175; Parte seconda, esperienze sulla vaccinazione in vitro, ibid., pp. 398 s.Sui vaccini polivalenti. Prima comunicazione: un vaccino per varie malattie batteriche dei conigli, ibid., XI [1895], 2, pp. 290-293; Seconda comunicazione: la polivalenza nelle infezioni non batteriche e nelle intossicazioni comuni, ibid.,3, pp. 638 ss., in coll. con A. Bruschettini. La depurazione dei vaccini a scopo curativo. Concetto generale della depurazione, in Policlinico, sez. medica, III [1896], pp. 555-575.Studio sulla febbre infettiva. Prima comunicazione. Il veleno della febbre nei batteri, in Riforma medica, IX [1893], 4, pp. 361-368.Studio sulle febbri infettive. Seconda comunicazione. L'antitossina della febbre batterica, ibid., pp. 374-378, in coll. con A. Bruschettini.Sulla presenza di un principio pirogene e antipirogene nella cultura batterica,in Mem. d. R. Acc. delle scienze dell'Ist. di Bologna, classe di scienze fisiche, s. 9, III [1935-36], pp. 77-86; Sull'esistenza di un nucleo ternario nel veleno pirogene di batteri, ibid., V [1937-38], pp. 3-7. Ueber die Autozyto-präzipitine und über eine allgemeine Form derselben, in Centralbl. f. Bakteriol., Parasitenkunde u. Infektionskrankheiten, XXXV[1904], pp. 91-101, 239-246, 362-367. La peste aviaria, in Atti d. Acc. delle scienze mediche e naturali in Ferrara, LXXV [1901], pp. 111-123, incoll. con E. Savonuzzi; Die Vogelpest, in Centralbl. f. Bakt., Paras. u. Infektionskr.,XXXI [1902], pp. 145-152, 182-201. Das Geschwulstproblem, Wien 1927. Nel 1903 egli dette inizio al corso libero di chimica biologica, e nel 1911 fondò la Società italiana di chimica patologica della quale fu il primo presidente.	libero docente di Biologia generale nell'Istituto Superiore di Firenze, membro dell'accademia di Scienze mediche e naturali di Ferrara, socio dell'associazione dei Patologi Italiani	Annuario 1903-1904; CENTANNI, Eugenio, di Arnaldo Cantani, in Dizionario Biografico degli Italiani , Volume 23 (1979)		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
362	GuizzettiAlessandroPietro	Guizzetti			Alessandro	Pietro		M	Clusone	1862-06-27	Parma	1937-07-23	Medicina e Chirurgia		Anatomia patologica			Subito dopo la laurea in medicina e chirurgia iniziò la sua attività all'Università di Parma ove nel 1890 fu nominato aiuto nell'istituto di clinica medica diretto da A. Riva, conservando l'incarico per due anni.Nel 1892 si trasferì con la qualifica di assistente presso l'istituto di anatomia patologica della stessa Università di Parma.Ottenuta la libera docenza nel 1897, dal 1898 al 1903 fu incaricato dell'insegnamento ufficiale di anatomia patologica a Parma. Dopo aver insegnato dal 1904 al 1906 la disciplina a Cagliari, avendo superato il relativo concorso, nel 1907, su chiamata unanime della facoltà di medicina e chirurgia, assunse la direzione dell'istituto di anatomia e istologia patologica dell'Università di Parma. In questa sede avrebbe concluso la sua carriera didattica e scientifica, con la parentesi del periodo bellico: nel 1915, infatti, allo scoppio del conflitto mondiale, si arruolò volontario e prestò servizio per due anni in zona di operazioni, quindi alla direzione dell'ospedale di Fidenza. Alla direzione della cattedra di Parma, il G. riordinò e arricchì la già cospicua raccolta di pezzi anatomici fino a farne un vero e proprio museo che volle intitolare al suo maestro (Museo Inzani). Collocato fuori ruolo il 29 ott. 1935 per raggiunti limiti di età, l'anno successivo fu nominato professore emerito dell'Università di Parma.	"Nell'ambito scientifico si segnalò come un brillante e originale ricercatore, autore di una gran mole di studi e di osservazioni nei vari campi dell'anatomia patologica, seguendo un indirizzo innovativo rispetto alla tendenza all'epoca dominante: il suo approccio alla disciplina, infatti, fu volto soprattutto all'esame dell'uomo malato anziché a quello dei singoli organi e dei tessuti sedi di alterazioni patologicheAlcune osservazioni sulla reazione e sui componenti del sudore nell'uomo sano e in quello malato, in Rivista clinica, XXXI [1892], pp. 84-101. Di grande rilievo furono le sue ricerche sull'anatomia patologica del sistema nervoso, che gli consentirono di pervenire a interessanti scoperte: si segnalano in modo particolare gli studi sull'atassia o malattia di Friedreich, coi quali poté per primo dimostrare come caratteristica del processo morboso l'atrofia progressiva congenita di tutto il neurone sensitivo, osservazione più tardi confermata da J.J. Déjerine (Le alterazioni dei nervi periferici e dei ganglii spinali in un caso di malattia di Friedreich e loro rapporto con le alterazioni delle radici spinali posteriori, in La Riforma medica, IX [1893], 2, pp. 770-774, 782-786; Contributo all'anatomia patologica della malattia di Friedreich, in Il Policlinico, sezione medica, I [1894], pp. 438-445, 453-476); quelli sul rammollimento ischemico del cervello e del midollo spinale, in rapporto all'obliterazione rispettivamente di un'arteria cerebrale e delle arterie endomidollari che, in quanto arterie terminali, non sono supportate da circoli collaterali (Contributo sperimentale alla conoscenza dell'istogenesi del rammollimento cerebrale ischemico, in Arch. per le scienze mediche, XXI [1897], pp. 59-108; Per la conoscenza del rammollimento ischemico del midollo spinale, in Riv. sperimentale di freniatria e medicina legale delle alienazioni mentali, XXVIII [1902], pp. 98-137); sulla corea, infettiva e del Sydenham, che dimostrò essere un processo encefalitico (Contributo alla etiologia e alla anatomia patologica della corea del Sydenham, in La Riforma medica, IX [1893], 4, pp. 422-428, 434-440, 448-452; Esperienze collo stafilococco piogeno aureo allo scopo di riprodurre la corea reumatica, in Riv. sperimentale di freniatria e medicina legale delle alienazioni mentali, XXVII [1901], pp. 723-760); sulla paralisi ascendente di Landry, la cui eziopatogenesi ricondusse a una infezione batterica (Per l'anatomia patologica della paralisi di Landry, ibid., XXV [1899], pp. 509-562); sulla presenza del ferro nel sistema nervoso dell'uomo, che per primo dimostrò a livello principalmente del globus pallidus, della substantia nigra, del nucleo rosso e del nucleo dentato del cervelletto (Principali risultati dell'applicazione grossolana a fresco delle reazioni istochimiche del ferro sul sistema nervoso centrale dell'uomo e di alcuni mammiferi domestici, in Boll. della Società medica di Parma, VII [1914], pp. 276-278); sull'encefalite letargica, nella quale, in una tra le prime osservazioni sulla malattia, dimostrò tra l'altro la presenza di alterazioni infiammatorie dell'ipofisi (Sei autopsie di encefalite letargica, in Giorn. di clinica medica, I [1920], pp. 93 s.).

Tra i numerosi altri argomenti affrontati dal G. meritano particolare menzione le sue ricerche sulla eziologia e la patogenesi del noma e della stomatite ulcerosa (Ricerche batteriologiche ed istologiche nel noma, in Il Policlinico, sez. medica, III [1896], pp. 405-433, 495-500; Per l'etiologia e la patogenesi del noma, ibid., sez. chirurgica, V [1898], pp. 445-474, 528-540; Per l'etiologia e l'istologia patologica della stomatite ulcerosa, in Arch. per le scienze mediche, XXIII [1899], pp. 1-23); sulle ghiandole endocrine e in modo speciale sulla morfologia dell'ipofisi (Sulla porzione linguiforme dell'Hypophisis cerebri nell'uomo e sui di lei cordoni di epitelio pavimentoso stratificato, in Lo Sperimentale, LXXIX [1925], pp. 73-150; Sulla struttura della pars intermedia dell'Hypophisis cerebri dell'uomo, ibid., LXXX [1926], pp. 665-735; Secondo contributo alla struttura della pars intermedia dell'Hypophisis cerebri dell'uomo, ibid., LXXXI [1927], pp. 583-640) e sui rapporti tra surrene e ipofisi nel morbo di Addison (Per la conoscenza delle relazioni tra surrenale e ipofisi nel morbo di Addison, in Endocrinologia e patologia costituzionale, VII [1928], pp. 397-423). Ancora un cenno, infine, al contributo recato dal G. alla conoscenza della patologia del sistema diencefalo-ipofisario con l'importante studio delle obesità non inquadrabili tra quelle descritte da A. Fröhlich: Ricerche anatomiche sull'ipofisi e sul sistema ipofisario-diencefalico in casi di adiposità non appartenenti al tipo di Froehlich. Parte I. - Ipofisi, in Arch. per le scienze mediche, LVII (1933), pp. 325-340; Parte II. - Tuber, ibid., LVIII (1934), pp. 1-52.

Nel Trattato di anatomia patologica per medici e studenti diretto da P. Foà il G. fu autore dei due volumi costituenti la IX e la X parte dell'opera: Anatomia patologica del sistema nervoso centrale, Torino 1922, e Sistema nervoso. Midollo spinale. Nervi periferici - Simpatico, ibid. 1924. Pubblicò inoltre alcune pregevoli monografie: Apparato circolatorio, Parma 1933; Anatomia patologica dell'apparato circolatorio, dell'apparato digerente e glandole annesse e dell'apparato urinario, ibid. 1934; Anatomia patologica degli organi genitali femminili a cura di L. De Giorgi, ibid. 1935; Anatomia patologica dell'apparato genitale maschile, a cura di L. De Giorgi, ibid. 1935; Anatomia patologica dell'apparato respiratorio: lezioni, ibid. 1935."	libero docente di Anatomia Patologica nella Regia Università di Parma; vice presidente della Società tra i cultori delle scienze mediche e naturali, in Cagliari	Annuario 1903-04; GUIZZETTI, Alessandro Pietro, di Stefano Arieti, in Dizionario Biografico degli Italiani, Volume 61 (2004) 		sì	no			no	no	no	Laura Cogoni	Eleonora Todde
363	CasagrandiOddo	Casagrandi			Oddo			M	Lugo di Romagna 	1872-09-06	Milano	1943-01-08	Medicina e Chirurgia		Igiene sperimentale e polizia sanitaria; Igiene; Igiene pedagogica; Chimica bromatologica; Batteriologia			Nato a Lugo di Romagna il 6 settembre 1872, si laureò in Medicina e Chirurgia presso l’Università di Catania nel 1896. Conseguì la libera docenza nel 1901 e si specializzò soprattutto nel campo dell’igiene ottenendo lo straordinariato nella disciplina presso l’Università di Cagliari, materia di cui divenne titolare di cattedra per dieci anni. Si dedicò ampiamente anche agli studi relativi alla parassitologia. Durante il periodo cagliaritano fu preside della facoltà di Medicina e successivamente rettore per due anni. Nel 1915 si trasferì presso l’Ateneo di Padova dove fu titolare della cattedra di Igiene sino al pensionamento. Durante gli anni della Grande Guerra l’Istituto di Igiene dell’Ateneo patavino, sotto la guida di Casagrandi, collaborò attivamente con lo Stato Maggiore nella prevenzione e nella profilassi nel campo batteriologico. Tra gli studi più importanti del Casagrandi si ricordano quelli atti a dimostrare filtrabilità dei virus e la possibilità di coltivare tali microrganismi nei leucociti. Queste ricerche furono ampiamente illustrate in varie pubblicazioni, alcune delle quali rappresentarono importanti contributi alla conoscenza dell’etiologia del vaiolo e alla profilassi vaccinica della malattia (L’etiologia del vaiuolo umano, in Annali d’igiene sperimentale, n. s., XX (1910), pp. 1-89; Studi sul vaccino, ivi, pp. 115-162); studi che vennero ulteriormente approfonditi e sintetizzati in un lavoro del 1926 (Virus filtrabili ed ultrafiltrabili Tecnica e ricerche personali, in Atti d. Soc. med-chir. di Padova, IV (1926), pp. 521-581). Un altro suo campo di ricerca, dove ottenne risultati importanti proprio nei suoi anni in Sardegna, è quello relativo alle analisi delle acque potabili e al materiale più consono sul piano igienico da utilizzare per le tubature (L’acqua potabile di Cagliari dalle origini alla distribuzione urbana studiata batteriologicamente e nei riguardi del suo valore igienico, in Annali d’igiene sperimentale, n. s., XXII (1912), pp. 3-212). Importanti studi compì anche in merito alla profilassi antimalarica con casi di studio relativi alla Sardegna, al Veneto e all’Agro Pontino. Morì a Milano nel gennaio del 1943.	"Il C. ha compiuto fondamentali ricerche sul virus vaccinico e quello vaioloso umano, dei quali ha scoperto la filtrabilità, sulla amebiasi dell'uomo, sulla dissociazione batterica del bacillo del tifo, ecc. 
Pubblicò numerosi lavori scientifici, tra i quali ricordiamo Nozioni d'igiene sulla malaria (ed. a Vicenza nel 1927) frutto della sua attività nella lotta antimalarica nell'Agro pontino, in Sardegna, nel Veneto. Nel 1926 fu stampato a Torino il Trattato italiano di igiene, opera ampia e completa in 43 volumi, diretta dal Casagrandi, costituita da una serie di trattazioni monografiche redatte dai più autorevoli specialisti."	membro della Società Lancisiana degli Ospedali di Roma, della Società italiana di Patologia, della Società per gli studi della malaria in Italia, della Società d'Igiene coloniale e tropicale, della Società Italiana per il progresso delle Scienze, socio Benemerito della Società fra i Cultori di Scienze Mediche e Naturali in Cagliari. vice presidente della Società regionale contro la malaria nella Provincia di Cagliari, membro dol Consiglio Sanitario provinciale di Cagliari, membro del Consiglio direttivo dell'Associazione degli Igienisti italiani.membro del Consiglio superiore di sanità, vicepresidente dell'Istituto antimalarico delle Tre Venezie. Durante la prima Guerra mondiale fu ispettore del servizio batteriologico della zona di primo sgombero, poi, col grado di generale, di tutto l'esercito. 	Annuario 1903-04; CASAGRANDI, Oddo, di *, in Dizionario Biografico degli Italiani, Volume 21 (1978) ; Annuario 1908-09; Annuario 1909-10		sì	no			no	no	no	Laura Cogoni; Gianluca Scroccu; Eleonora Todde	Eleonora Todde
